Summary,Issue Type,Description,Priority,Status,Epic Link,Labels,Assignee,Component,Sprint,Parent,Story Points,Estimate (h)
"Productionize RLS & Security",Epic,"Perkuat kebijakan RLS produksi, proteksi service role, validasi request, rate limiting, indexing/caching.",High,To Do,,security;rls;backend,,,,-,
"Penuhi performance budget (<300ms interaksi)",Task,"Profiling komponen berat (Calendar/Enhanced Tables), lazy-load, memo, prefetch.",Medium,To Do,"Accessibility & Performance",performance;frontend,Frontend-Dev,Frontend,Sprint 2,,5,14
"Kompatibilitas browser wajib (pemerintahan)",Task,"Uji Chrome/Edge, fallback fitur, progresif enhancement.",Low,To Do,"Accessibility & Performance",qa;frontend,QA-Engineer,Frontend,Sprint 2,,3,8
"Calendar & Realtime Hardening",Epic,"Perkuat alur Calendar dan sinkronisasi realtime, termasuk auto-complete perjalanan dinas.",High,To Do,,calendar;realtime,,,,-,
"Verifikasi cron auto-complete perjalanan dinas",Task,"Pastikan edge function + cron jalan, audit log lengkap.",High,In Review,"Calendar & Realtime Hardening",calendar;realtime,Fullstack-Dev,Calendar,Sprint 1,,5,10
"Cek schedule cron & env",Sub-task,"Pastikan jadwal cron aktif, variabel env terisi benar.",High,Done,,calendar;realtime,Fullstack-Dev,Calendar,Sprint 1,"Verifikasi cron auto-complete perjalanan dinas",2,4
"Uji edge function manual",Sub-task,"Trigger fungsi secara manual dan verifikasi perubahan data.",Medium,In Review,,calendar;realtime,Fullstack-Dev,Calendar,Sprint 1,"Verifikasi cron auto-complete perjalanan dinas",2,4
"Audit log & notifikasi",Sub-task,"Pastikan audit log terekam dan notifikasi (jika ada) terkirim.",Medium,To Do,,calendar;realtime,Fullstack-Dev,Calendar,Sprint 1,"Verifikasi cron auto-complete perjalanan dinas",2,4
"Uji edge case realtime (sinkron multi-klien)",Task,"Tes subscribe/unsubscribe, konflik update, offline/online.",Medium,To Do,"Calendar & Realtime Hardening",realtime;qa,QA-Engineer,Calendar,Sprint 2,,5,10
"Tes integrasi Calendar ↔ Workload ↔ Dashboard",Task,"E2E data flow: event → workload/todo → dashboard metrics.",Medium,To Do,"Calendar & Realtime Hardening",integration;qa,Fullstack-Dev,Fullstack,Sprint 2,,5,12
"Dokumentasi & Runbook",Epic,"Lengkapi dokumentasi operasional dan API agar mudah dioperasikan dan dipelihara.",Medium,To Do,,docs;ops,,,,-,
"Tambahkan OpenAPI spec untuk API",Task,"Definisikan endpoint, payload, error, auth. Publish ke repo.",Medium,To Do,"Dokumentasi & Runbook",docs;api,Backend-Dev-Specialist,Backend,Sprint 2,,5,12
"Buat Ops Playbook (alerting, on-call, SOP incident)",Task,"Langkah saat insiden: identifikasi, eskalasi, mitigasi, komunikasi.",Low,To Do,"Dokumentasi & Runbook",ops;docs,Fullstack-Dev,Ops,Sprint 2,,3,8
"Materi pelatihan pengguna (panduan singkat)",Task,"Quick guide untuk Calendar/Workload/Employees + FAQ.",Low,To Do,"Dokumentasi & Runbook",docs;training,UI-UX-Designer,UX,Sprint 2,,3,6
"Deployment & CI/CD",Epic,"Siapkan pipeline lint/type/test/smoke, gating sebelum rilis.",Medium,To Do,,devops;ci,,,,-,
"Siapkan pipeline CI (lint, typecheck, tests, smoke)",Task,"Konfig GitHub Actions, jalankan quick-smoke + verify-integration.",Medium,To Do,"Deployment & CI/CD",ci;testing,QA-Engineer,DevOps,Sprint 2,,5,10
"E2E smoke sebelum rilis (skrip + checklist)",Task,"Jalankan skrip e2e minimum sebelum deploy prod.",Medium,To Do,"Deployment & CI/CD",testing;release,QA-Engineer,QA,Sprint 2,,3,8
"Release checklist & approval gate",Task,"Checklist wajib (DB migration, backup, health check, rollback siap).",Medium,To Do,"Deployment & CI/CD",release;ops,Fullstack-Dev,Ops,Sprint 2,,3,6
